country,region,mountain_id,name,data_source,issue,elevationM_in_app,snow_forecast_elevation_m_live,base_m,summit_m,server_elevation_m,map_pin_terrain_m,metres_below_base,suggested_snow_elevation_m
US,us-ny,willard-mountain,Willard Mountain,catalogue,No base/summit data; uses map-pin elevation,569,484,,,569,580,,
US,us-oh,alpine-valley-ohio,Alpine Valley,catalogue,No base/summit data; uses map-pin elevation,348,296,,,348,348,,
US,us-oh,boston-mills-brandywine,Boston Mills Brandywine,catalogue,No base/summit data; uses map-pin elevation,201,191,,,201,200,,
US,us-oh,mad-river-mountain,Mad River Mountain,catalogue,No base/summit data; uses map-pin elevation,359,305,,,359,355,,
US,us-oh,snow-trails,Snow Trails,catalogue,No base/summit data; uses map-pin elevation,376,320,,,376,380,,
US,us-pa,bear-creek-mountain-resort-pa,Bear Creek Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,217,202,,,217,212,,
US,us-pa,big-boulder-pa,Big Boulder,catalogue,No base/summit data; uses map-pin elevation,582,495,,,582,584,,
US,us-pa,boyce-park-ski-area-pa,Boyce Park Ski Area,catalogue,No base/summit data; uses map-pin elevation,350,298,,,350,348,,
US,us-pa,elk-mountain-pa,Elk Mountain,catalogue,No base/summit data; uses map-pin elevation,491,417,,,491,490,,
US,us-pa,hidden-valley-resort-pa,Hidden Valley Resort,catalogue,No base/summit data; uses map-pin elevation,788,670,,,788,795,,
US,us-pa,jack-frost-pa,Jack Frost,catalogue,No base/summit data; uses map-pin elevation,489,416,,,489,500,,
